scenario,D1,D2,D3,D4,V1,V2,V3,V4,mode,ngram,embed_manager,collection,collection_id,Ix,Iy,score,data_type,aggregation
1,2100,1050,365,1415,5995,3981,1536,4478,jaccard_difference,1,None,None,None,0.8864489117465889,0.8637263821701869,0.1773819285044559,match,MEAN
1,2100,1050,365,1415,5995,3981,1536,4478,jaccard_difference,1,None,None,None,1.0,0.5847485950459433,0.41525140495405666,concat,MEAN
2,2100,1050,365,1415,5995,3981,1536,4478,jaccard_difference,1,None,None,None,0.6815227215367166,0.7812459317783865,0.3863691489506973,match,MEAN
2,2100,1050,365,1415,5995,3981,1536,4478,jaccard_difference,1,None,None,None,1.0,0.6867110245907626,0.3132889754092374,concat,MEAN
3,2100,1050,365,1415,5995,3981,1536,4478,jaccard_difference,1,None,None,None,0.9162905772303938,0.8478376044366522,0.17366825295372032,perfect,MEAN
3,2100,1050,365,1415,5995,3981,1536,4478,jaccard_difference,1,None,None,None,0.8335880923638304,0.8993448850502541,0.19448489701942312,match,MEAN
3,2100,1050,365,1415,5995,3981,1536,4478,jaccard_difference,1,None,None,None,1.0,0.6005311810709419,0.39946881892905806,concat,MEAN
