scenario,D1,D2,D3,D4,V1,V2,V3,V4,mode,ngram,embed_manager,collection,collection_id,Ix,Iy,score,data_type,aggregation
1,2300,1150,1150,2300,4663,3057,3016,4829,jaccard_difference,1,None,None,None,0.835041676190707,0.872050068835169,0.2087640617516735,match,MEAN
1,2300,1150,1150,2300,4663,3057,3016,4829,jaccard_difference,1,None,None,None,1.0,0.6464511807231978,0.35354881927680215,concat,MEAN
2,2300,1150,1150,2300,4663,3057,3016,4829,jaccard_difference,1,None,None,None,0.6557056070603735,0.8974037921789411,0.35925563442892283,match,MEAN
2,2300,1150,1150,2300,4663,3057,3016,4829,jaccard_difference,1,None,None,None,1.0,0.7792277116789852,0.2207722883210148,concat,MEAN
3,2300,1150,1150,2300,4663,3057,3016,4829,jaccard_difference,1,None,None,None,0.9182931164119279,0.8543091607592785,0.16703842511332687,perfect,MEAN
3,2300,1150,1150,2300,4663,3057,3016,4829,jaccard_difference,1,None,None,None,0.7453736416255403,0.9469130314610872,0.2601015351890302,match,MEAN
3,2300,1150,1150,2300,4663,3057,3016,4829,jaccard_difference,1,None,None,None,1.0,0.6990961507319661,0.30090384926803393,concat,MEAN
