scenario,D1,D2,D3,D4,V1,V2,V3,V4,mode,ngram,embed_manager,collection,collection_id,Ix,Iy,score,data_type,aggregation
1,50,25,25,50,184,102,88,175,jaccard_difference,1,None,None,None,0.799945165945166,0.9596014958638721,0.2040930566313904,match,MEAN
1,50,25,25,50,184,102,88,175,jaccard_difference,1,None,None,None,1.0,0.6831042663438927,0.31689573365610735,concat,MEAN
2,50,25,25,50,184,102,88,175,jaccard_difference,1,None,None,None,0.7379402394990631,0.9784497271566237,0.26294435216112244,match,MEAN
2,50,25,25,50,184,102,88,175,jaccard_difference,1,None,None,None,1.0,0.9125143214010887,0.08748567859891132,concat,MEAN
3,50,25,25,50,184,102,88,175,jaccard_difference,1,None,None,None,0.9001392496392496,0.9417225851257325,0.11562191205407218,perfect,MEAN
3,50,25,25,50,184,102,88,175,jaccard_difference,1,None,None,None,0.7689427027221145,0.9862502280605729,0.23146604687026434,match,MEAN
3,50,25,25,50,184,102,88,175,jaccard_difference,1,None,None,None,1.0,0.7455525943601474,0.2544474056398526,concat,MEAN
