scenario,D1,D2,D3,D4,V1,V2,V3,V4,mode,ngram,embed_manager,collection,collection_id,Ix,Iy,score,data_type,aggregation
1,2100,1050,388,1438,6022,3988,1606,4525,jaccard_difference,1,None,None,None,0.9660953024962318,0.8643229687904941,0.13984915198401193,match,MEAN
1,2100,1050,388,1438,6022,3988,1606,4525,jaccard_difference,1,None,None,None,1.0,0.5850702941780621,0.4149297058219379,concat,MEAN
2,2100,1050,388,1438,6022,3988,1606,4525,jaccard_difference,1,None,None,None,0.6785882561733803,0.786506972575327,0.3858559081167746,match,MEAN
2,2100,1050,388,1438,6022,3988,1606,4525,jaccard_difference,1,None,None,None,1.0,0.6886161419427375,0.31138385805726254,concat,MEAN
3,2100,1050,388,1438,6022,3988,1606,4525,jaccard_difference,1,None,None,None,0.9753044019184323,0.8472581314925433,0.15472540502372434,perfect,MEAN
3,2100,1050,388,1438,6022,3988,1606,4525,jaccard_difference,1,None,None,None,0.8885203831824164,0.9023006201216615,0.1482324991167833,match,MEAN
3,2100,1050,388,1438,6022,3988,1606,4525,jaccard_difference,1,None,None,None,1.0,0.6009047013468798,0.3990952986531202,concat,MEAN
