scenario,D1,D2,D3,D4,V1,V2,V3,V4,mode,ngram,embed_manager,collection,collection_id,Ix,Iy,score,data_type,aggregation
1,700,350,350,700,1704,1222,1067,1793,jaccard_difference,1,None,None,None,0.7660657614413695,0.9089249868300022,0.2510376186827813,match,MEAN
1,700,350,350,700,1704,1222,1067,1793,jaccard_difference,1,None,None,None,1.0,0.6454268087141919,0.3545731912858081,concat,MEAN
2,700,350,350,700,1704,1222,1067,1793,jaccard_difference,1,None,None,None,0.7161422218071378,0.9108743597552645,0.29752078581104574,match,MEAN
2,700,350,350,700,1704,1222,1067,1793,jaccard_difference,1,None,None,None,1.0,0.7492096474647882,0.25079035253521176,concat,MEAN
3,700,350,350,700,1704,1222,1067,1793,jaccard_difference,1,None,None,None,0.8833799998713754,0.8513688938212958,0.1889217566981253,perfect,MEAN
3,700,350,350,700,1704,1222,1067,1793,jaccard_difference,1,None,None,None,0.7411039916242537,0.9631285749221307,0.2615084035746604,match,MEAN
3,700,350,350,700,1704,1222,1067,1793,jaccard_difference,1,None,None,None,1.0,0.67158542741486,0.32841457258513995,concat,MEAN
