scenario,D1,D2,D3,D4,V1,V2,V3,V4,mode,ngram,embed_manager,collection,collection_id,Ix,Iy,score,data_type,aggregation
1,600,300,300,600,1472,1103,898,1575,jaccard_difference,1,None,None,None,0.7592777207885566,0.9178205781318117,0.2543632699257929,match,MEAN
1,600,300,300,600,1472,1103,898,1575,jaccard_difference,1,None,None,None,1.0,0.6444868086192754,0.35551319138072457,concat,MEAN
2,600,300,300,600,1472,1103,898,1575,jaccard_difference,1,None,None,None,0.7021935448638622,0.9063651815922491,0.3121796981531709,match,MEAN
2,600,300,300,600,1472,1103,898,1575,jaccard_difference,1,None,None,None,1.0,0.7457877390017695,0.25421226099823047,concat,MEAN
3,600,300,300,600,1472,1103,898,1575,jaccard_difference,1,None,None,None,0.880153591034009,0.8548595043813949,0.1882257294060987,perfect,MEAN
3,600,300,300,600,1472,1103,898,1575,jaccard_difference,1,None,None,None,0.7307356328262095,0.962827163360558,0.27181817307406897,match,MEAN
3,600,300,300,600,1472,1103,898,1575,jaccard_difference,1,None,None,None,1.0,0.6642816603044062,0.33571833969559384,concat,MEAN
