scenario,D1,D2,D3,D4,V1,V2,V3,V4,mode,ngram,embed_manager,collection,collection_id,Ix,Iy,score,data_type,aggregation
1,100,50,50,100,225,109,111,205,jaccard_difference,1,None,None,None,0.9199166666666667,0.9635839212228101,0.0879742636870822,match,MEAN
1,100,50,50,100,225,109,111,205,jaccard_difference,1,None,None,None,1.0,0.6573036274695063,0.3426963725304937,concat,MEAN
2,100,50,50,100,225,109,111,205,jaccard_difference,1,None,None,None,0.6118968253968253,0.9859668109668109,0.3883568005475165,match,MEAN
2,100,50,50,100,225,109,111,205,jaccard_difference,1,None,None,None,1.0,0.8910238801377194,0.10897611986228062,concat,MEAN
3,100,50,50,100,225,109,111,205,jaccard_difference,1,None,None,None,0.9599583333333334,0.9271891002661747,0.08309489869717393,perfect,MEAN
3,100,50,50,100,225,109,111,205,jaccard_difference,1,None,None,None,0.7659067460317461,0.9841639433551198,0.23462828525884355,match,MEAN
3,100,50,50,100,225,109,111,205,jaccard_difference,1,None,None,None,1.0,0.7284327858452959,0.2715672141547041,concat,MEAN
