scenario,D1,D2,D3,D4,V1,V2,V3,V4,mode,ngram,embed_manager,collection,collection_id,Ix,Iy,score,data_type,aggregation
1,2200,1100,1100,2200,4522,2905,2899,4600,jaccard_difference,1,None,None,None,0.9025728108971847,0.8695419124560482,0.16282312422411363,match,MEAN
1,2200,1100,1100,2200,4522,2905,2899,4600,jaccard_difference,1,None,None,None,1.0,0.6401692757925005,0.3598307242074995,concat,MEAN
2,2200,1100,1100,2200,4522,2905,2899,4600,jaccard_difference,1,None,None,None,0.6538169154293029,0.8942931378836843,0.3619622476742018,match,MEAN
2,2200,1100,1100,2200,4522,2905,2899,4600,jaccard_difference,1,None,None,None,1.0,0.776959253230998,0.22304074676900199,concat,MEAN
3,2200,1100,1100,2200,4522,2905,2899,4600,jaccard_difference,1,None,None,None,0.9517914561020386,0.8534108908304301,0.15431276885562564,perfect,MEAN
3,2200,1100,1100,2200,4522,2905,2899,4600,jaccard_difference,1,None,None,None,0.7781948631632438,0.944184965039996,0.22871999662198012,match,MEAN
3,2200,1100,1100,2200,4522,2905,2899,4600,jaccard_difference,1,None,None,None,1.0,0.6970949233649517,0.3029050766350483,concat,MEAN
