scenario,D1,D2,D3,D4,V1,V2,V3,V4,mode,ngram,embed_manager,collection,collection_id,Ix,Iy,score,data_type,aggregation
1,90,45,45,90,369,205,256,401,jaccard_difference,1,None,None,None,0.7691471867103963,0.8937552855997215,0.25412784330277816,match,MEAN
1,90,45,45,90,369,205,256,401,jaccard_difference,1,None,None,None,1.0,0.6077429376565219,0.3922570623434781,concat,MEAN
2,90,45,45,90,369,205,256,401,jaccard_difference,1,None,None,None,0.6985518753730842,0.941387477231497,0.30709347056942266,match,MEAN
2,90,45,45,90,369,205,256,401,jaccard_difference,1,None,None,None,1.0,0.8083090675428074,0.1916909324571926,concat,MEAN
3,90,45,45,90,369,205,256,401,jaccard_difference,1,None,None,None,0.8849077621104193,0.8533737637962406,0.18640138509601387,perfect,MEAN
3,90,45,45,90,369,205,256,401,jaccard_difference,1,None,None,None,0.7338495310417401,0.9534047313303311,0.2701984292868859,match,MEAN
3,90,45,45,90,369,205,256,401,jaccard_difference,1,None,None,None,1.0,0.6731579328961517,0.32684206710384833,concat,MEAN
