scenario,D1,D2,D3,D4,V1,V2,V3,V4,mode,ngram,embed_manager,collection,collection_id,Ix,Iy,score,data_type,aggregation
1,700,350,350,700,1239,795,713,1168,jaccard_difference,1,None,None,None,0.7822100716743574,0.8836499440391946,0.24692061153773917,match,MEAN
1,700,350,350,700,1239,795,713,1168,jaccard_difference,1,None,None,None,1.0,0.6232951383722342,0.37670486162776584,concat,MEAN
2,700,350,350,700,1239,795,713,1168,jaccard_difference,1,None,None,None,0.698095331022852,0.9049991126097547,0.3164989695956929,match,MEAN
2,700,350,350,700,1239,795,713,1168,jaccard_difference,1,None,None,None,1.0,0.7481453603774904,0.25185463962250965,concat,MEAN
3,700,350,350,700,1239,795,713,1168,jaccard_difference,1,None,None,None,0.8925395338788196,0.839718229301343,0.19297149477909484,perfect,MEAN
3,700,350,350,700,1239,795,713,1168,jaccard_difference,1,None,None,None,0.7401527013486047,0.9520900216717725,0.26422714591774754,match,MEAN
3,700,350,350,700,1239,795,713,1168,jaccard_difference,1,None,None,None,1.0,0.6612192927190219,0.3387807072809781,concat,MEAN
