scenario,D1,D2,D3,D4,V1,V2,V3,V4,mode,ngram,embed_manager,collection,collection_id,Ix,Iy,score,data_type,aggregation
1,600,300,300,600,2691,866,1364,1763,jaccard_difference,1,None,None,None,0.6328274793154995,0.7342307046847796,0.4532647992930388,match,MEAN
1,600,300,300,600,2691,866,1364,1763,jaccard_difference,1,None,None,None,1.0,0.6563569237213402,0.34364307627865975,concat,MEAN
2,600,300,300,600,2691,866,1364,1763,jaccard_difference,1,None,None,None,0.7403203498084289,0.8605369621980075,0.29476000345463554,match,MEAN
2,600,300,300,600,2691,866,1364,1763,jaccard_difference,1,None,None,None,1.0,0.6835188322607642,0.31648116773923585,concat,MEAN
3,600,300,300,600,2691,866,1364,1763,jaccard_difference,1,None,None,None,0.8299399182302604,0.720023379597844,0.32757798977242575,perfect,MEAN
3,600,300,300,600,2691,866,1364,1763,jaccard_difference,1,None,None,None,0.6865739145619643,0.874151638359153,0.3377480142957117,match,MEAN
3,600,300,300,600,2691,866,1364,1763,jaccard_difference,1,None,None,None,1.0,0.6748431444142762,0.3251568555857238,concat,MEAN
