scenario,D1,D2,D3,D4,V1,V2,V3,V4,mode,ngram,embed_manager,collection,collection_id,Ix,Iy,score,data_type,aggregation
1,90,45,45,90,442,264,308,480,jaccard_difference,1,None,None,None,0.7306005850225807,0.8727569383083063,0.29793764706537496,match,MEAN
1,90,45,45,90,442,264,308,480,jaccard_difference,1,None,None,None,1.0,0.6236216077038652,0.3763783922961348,concat,MEAN
2,90,45,45,90,442,264,308,480,jaccard_difference,1,None,None,None,0.714895544157905,0.9314293871019019,0.2932345131362233,match,MEAN
2,90,45,45,90,442,264,308,480,jaccard_difference,1,None,None,None,1.0,0.7670554029417067,0.2329445970582933,concat,MEAN
3,90,45,45,90,442,264,308,480,jaccard_difference,1,None,None,None,0.8654636912041009,0.8203125485769786,0.22447182135699392,perfect,MEAN
3,90,45,45,90,442,264,308,480,jaccard_difference,1,None,None,None,0.7227480645902429,0.9481202962487527,0.28206406958308833,match,MEAN
3,90,45,45,90,442,264,308,480,jaccard_difference,1,None,None,None,1.0,0.6607315916498911,0.33926840835010885,concat,MEAN
